1,20,0.76665,0.04950,0.25905,0.06310,15.34104
2,20,0.72375,0.04870,0.25290,0.05995,14.47892
3,20,0.72415,0.04795,0.25150,0.06060,14.48584
4,20,1.07855,0.07175,0.34425,0.08905,21.57998
5,20,1.17265,0.07580,0.40480,0.09680,23.46396
6,20,1.02280,0.06730,0.33390,0.08795,20.46895
7,20,1.28615,0.08910,0.41280,0.10650,25.73299
8,20,1.17345,0.07765,0.38470,0.09970,23.47898
9,20,1.14820,0.07450,0.37770,0.10205,22.97401
10,20,0.97505,0.06640,0.31510,0.08160,19.51194
11,20,1.12185,0.07435,0.36345,0.09480,22.45092
12,20,0.92975,0.06340,0.29605,0.08055,18.60499
13,20,1.11255,0.07285,0.38225,0.10580,22.25995
14,20,0.96030,0.06080,0.30900,0.08140,19.21511
15,20,1.11225,0.07930,0.35880,0.09600,22.25709
16,20,0.92300,0.06040,0.29265,0.07580,18.46695
17,20,0.98990,0.06280,0.31760,0.08110,19.80400
18,20,0.89935,0.05575,0.27775,0.07130,17.99703
19,20,1.02980,0.06690,0.33215,0.09065,20.60413
20,20,0.75040,0.04955,0.25885,0.06410,15.01203
21,20,1.12275,0.07325,0.36690,0.09715,22.46189
22,20,0.94630,0.06275,0.29635,0.08120,18.93497
23,20,1.15405,0.07310,0.36930,0.10460,23.09084
24,20,0.85105,0.05615,0.28440,0.07425,17.03310
25,20,0.72245,0.04995,0.25040,0.06150,14.45198
26,20,1.05470,0.06945,0.33715,0.08795,21.10505
27,20,0.72710,0.04910,0.25370,0.06240,14.54687
28,20,1.07390,0.07055,0.34600,0.09000,21.48795
29,20,1.11060,0.07300,0.37245,0.09145,22.21990
30,20,1.10135,0.07205,0.35885,0.09220,22.03798
31,20,1.08925,0.07340,0.35480,0.09120,21.79193
32,20,0.91265,0.05850,0.28155,0.07585,18.26406
33,20,1.08015,0.07055,0.33865,0.08915,21.61098
34,20,1.19130,0.07710,0.37375,0.09815,23.83804
35,20,0.85505,0.05555,0.28085,0.07210,17.11106
36,20,1.04860,0.06825,0.34455,0.08680,20.98107
37,20,0.94765,0.07015,0.31190,0.07470,18.96620
38,20,0.85525,0.05540,0.28495,0.07260,17.11488
